subject,predicate,object
gmo:AgencyProgramManagerRole,rdfs:subClassOf,gmo:AgentRole
gmo:AgentRole,gmo:hasAgentRoleType,gmo:AgentRoleType
gmo:AgentRole,gmo:hasTemporalExtent,time:TemporalEntity
gmo:AgentRole,gmo:performedBy,gmo:Agent
gmo:AwardAmount,gmo:hasCurrencyCode,gmo:CurrencyCode
gmo:AwardAmount,gmo:hasCurrencyValue,xsd:decimal
gmo:CoPrincipalInvestigatorRole,rdfs:subClassOf,gmo:AgentRole
gmo:CollectorRole,rdfs:subClassOf,gmo:AgentRole
gmo:ContactRole,rdfs:subClassOf,gmo:AgentRole
gmo:ContributorRole,rdfs:subClassOf,gmo:AgentRole
gmo:Cruise,gmo:associatedWithProgram,gmo:Program
gmo:Cruise,gmo:describedBy,gmo:InformationObject
gmo:Cruise,gmo:fundedBy,gmo:FundingAward
gmo:Cruise,gmo:hasRelatedCruise,gmo:Cruise
gmo:Cruise,gmo:hasTrajectory,gmo:CruiseTrajectory
gmo:Cruise,gmo:providesAgentRole,gmo:AgentRole
gmo:Cruise,gmo:undertakenBy,gmo:Vessel
gmo:Cruise,rdfs:subClassOf,gmo:Event
gmo:CruiseTrajectory,gmo:hasFix,gmo:StartingFix
gmo:CruiseTrajectory,gmo:traveledBy,gmo:Vessel
gmo:CruiseTrajectory,rdfs:subClassOf,gmo:Trajectory
gmo:CuratorRole,rdfs:subClassOf,gmo:AgentRole
gmo:DataManagerRole,rdfs:subClassOf,gmo:AgentRole
gmo:EditorRole,rdfs:subClassOf,gmo:AgentRole
gmo:Event,gmo:endsAtTime,time:Instant
gmo:Event,gmo:occursAtPlace,gmo:Place
gmo:Event,gmo:occursAtTime,time:TemporalEntity
gmo:Event,gmo:providesAgentRole,gmo:AgentRole
gmo:Event,gmo:startsAtTime,time:Instant
gmo:Fix,gmo:atTime,time:TemporalEntity
gmo:Fix,gmo:hasAttribute,gmo:Attribute
gmo:Fix,gmo:hasDataSource,gmo:Source
gmo:Fix,gmo:hasNextFix,gmo:Fix
gmo:Fix,gmo:hasPosition,gmo:Position
gmo:FundingAward,gmo:describedBy,gmo:InformationObject
gmo:FundingAward,gmo:endsOnDate,time:Instant
gmo:FundingAward,gmo:hasAwardAmount,gmo:AwardAmount
gmo:FundingAward,gmo:providesAgentRole,gmo:AgentRole
gmo:FundingAward,gmo:providesAgentRole,gmo:PrincipalInvestigatorRole
gmo:FundingAward,gmo:providesAgentRole,gmo:SponsorRole
gmo:FundingAward,gmo:startsOnDate,time:Instant
gmo:Geometry,owl:equivalentClass,geosparql:Geometry
gmo:Identifier,gmo:hasIdentifierScheme,xsd:anyURI
gmo:Identifier,gmo:hasIdentifierScheme,xsd:string
gmo:Identifier,gmo:hasIdentifierValue,xsd:string
gmo:InformationObject,gmo:alsoKnownAs,xsd:string
gmo:InformationObject,gmo:hasAlternativeIdentifier,gmo:Identifier
gmo:InformationObject,gmo:hasCanonicalName,xsd:string
gmo:InformationObject,gmo:hasDescription,xsd:string
gmo:InformationObject,gmo:hasPrimaryIdentifier,gmo:Identifier
gmo:InformationObject,gmo:hasWebpage,xsd:anyURI
gmo:InformationObject,gmo:realizedBy,gmo:InformationRealization
gmo:Organization,gmo:describedBy,gmo:InformationObject
gmo:Organization,gmo:hasSite,gmo:Place
gmo:Organization,gmo:hasSubOrganization,gmo:Organization
gmo:Organization,gmo:providesAgentRole,gmo:AgentRole
gmo:Organization,rdfs:subClassOf,gmo:Agent
gmo:Person,gmo:hasPersonName,gmo:PersonName
gmo:Person,gmo:hasPersonalInfoItem,gmo:PersonalInfoItem
gmo:Person,owl:disjointWith,gmo:PersonName
gmo:Person,rdfs:subClassOf,gmo:Agent
gmo:PersonName,gmo:familyOrSurname,xsd:string
gmo:PersonName,gmo:firstOrGivenName,xsd:string
gmo:PersonName,gmo:fullName,xsd:string
gmo:PersonName,rdfs:subClassOf,gmo:PersonalInfoItem
gmo:PersonalInfoItem,gmo:endsAtTime,time:Instant
gmo:PersonalInfoItem,gmo:startsAtTime,time:Instant
gmo:PhysicalSample,gmo:derivedUsing,gmo:SamplingProcess
gmo:PhysicalSample,gmo:hasProperty,gmo:Property
gmo:PhysicalSample,gmo:originatesFrom,gmo:Feature
gmo:PhysicalSample,rdfs:subClassOf,gmo:Feature
gmo:Place,gmo:describedBy,gmo:InformationObject
gmo:Place,gmo:hasSpatialFootprint,gmo:Geometry
gmo:Platform,gmo:describedBy,gmo:InformationObject
gmo:Port,gmo:hasSpatialFootprint,gmo:Position
gmo:Port,rdfs:subClassOf,gmo:Place
gmo:Position,rdfs:subClassOf,gml:Point
gmo:PrincipalInvestigatorRole,rdfs:subClassOf,gmo:AgentRole
gmo:Program,gmo:describedBy,gmo:InformationObject
gmo:Program,gmo:endsOnDate,time:Instant
gmo:Program,gmo:providesAgentRole,gmo:AgentRole
gmo:Program,gmo:startsOnDate,time:Instant
gmo:ProgramManagerRole,rdfs:subClassOf,gmo:AgentRole
gmo:Property,gmo:hasUnit,gmo:PropertyUnit
gmo:RegistrantRole,rdfs:subClassOf,gmo:AgentRole
gmo:RightsHolderRole,rdfs:subClassOf,gmo:AgentRole
gmo:SamplingProcess,gmo:hasInputFeature,gmo:Feature
gmo:SamplingProcess,rdfs:subClassOf,gmo:Event
gmo:Segment,gmo:endsAtFix,gmo:Fix
gmo:Segment,gmo:hasAttribute,gmo:Attribute
gmo:Segment,gmo:startsFromFix,gmo:Fix
gmo:Segment,gmo:traversedBy,gmo:MovingObject
gmo:SponsorRole,rdfs:subClassOf,gmo:AgentRole
gmo:Trajectory,gmo:hasFix,gmo:Fix
gmo:Trajectory,gmo:hasFix,gmo:StartingFix
gmo:Trajectory,gmo:hasSegment,gmo:Segment
gmo:Vessel,gmo:describedBy,gmo:InformationObject
gmo:Vessel,gmo:hasProperty,gmo:Property
gmo:Vessel,gmo:hasProperty,gmo:VesselBeam
gmo:Vessel,gmo:hasProperty,gmo:VesselDisplacement
gmo:Vessel,gmo:hasProperty,gmo:VesselDraft
gmo:Vessel,gmo:hasProperty,gmo:VesselLength
gmo:Vessel,gmo:providesAgentRole,gmo:AgentRole
gmo:Vessel,rdfs:subClassOf,gmo:MovingObject
gmo:Vessel,rdfs:subClassOf,gmo:Platform
gmo:VesselBeam,rdfs:subClassOf,gmo:Property
gmo:VesselDisplacement,rdfs:subClassOf,gmo:Property
gmo:VesselDraft,rdfs:subClassOf,gmo:Property
gmo:VesselLength,rdfs:subClassOf,gmo:Property
gmo:VesselOwnerRole,rdfs:subClassOf,gmo:AgentRole
gmo:agentRoleIn,owl:inverseOf,gmo:providesAgentRole
gmo:endsAtTime,rdfs:subPropertyOf,gmo:occursAtTime
gmo:fullName,rdfs:subPropertyOf,gmo:hasLiteralValue
gmo:hasPersonName,rdfs:subPropertyOf,gmo:hasPersonalInfoItem
gmo:performedBy,owl:inverseOf,gmo:performsAgentRole
gmo:startsAtTime,rdfs:subPropertyOf,gmo:occursAtTime
