subject,predicate,object
edu-ont:Article,rdf:type,owl:Class
edu-ont:Audience,rdf:type,owl:Class
edu-ont:Author,rdf:type,owl:Class
edu-ont:Category,rdf:type,owl:Class
edu-ont:Curriculum,rdf:type,owl:Class
edu-ont:Event,rdf:type,owl:Class
edu-ont:FirstLearningStep,rdf:type,owl:Class
edu-ont:Foundations,rdf:type,owl:Class
edu-ont:Language,rdf:type,owl:Class
edu-ont:LastLearningStep,rdf:type,owl:Class
edu-ont:LearningPath,rdf:type,owl:Class
edu-ont:LearningStep,rdf:type,owl:Class
edu-ont:Level,rdf:type,owl:Class
edu-ont:Media,rdf:type,owl:Class
edu-ont:Module,rdf:type,owl:Class
edu-ont:Person,rdf:type,owl:Class
edu-ont:Persona,rdf:type,owl:Class
edu-ont:PersonaType,rdf:type,owl:Class
edu-ont:Podcast,rdf:type,owl:Class
edu-ont:Presentation,rdf:type,owl:Class
edu-ont:Profession,rdf:type,owl:Class
edu-ont:Standards,rdf:type,owl:Class
edu-ont:Topic,rdf:type,owl:Class
edu-ont:Transcript,rdf:type,owl:Class
edu-ont:Tutorial,rdf:type,owl:Class
edu-ont:Video,rdf:type,owl:Class
edu-ont:Workshop,rdf:type,owl:Class
edu-ont:Article,rdfs:subClassOf,edu-ont:Media
edu-ont:Podcast,rdfs:subClassOf,edu-ont:Media
edu-ont:Transcript,rdfs:subClassOf,edu-ont:Media
edu-ont:Video,rdfs:subClassOf,edu-ont:Media
edu-ont:Presentation,rdfs:subClassOf,edu-ont:Event
edu-ont:Tutorial,rdfs:subClassOf,edu-ont:Event
edu-ont:Workshop,rdfs:subClassOf,edu-ont:Event
edu-ont:Foundations,rdfs:subClassOf,edu-ont:Category
edu-ont:Standards,rdfs:subClassOf,edu-ont:Category
edu-ont:FirstLearningStep,rdfs:subClassOf,edu-ont:LearningStep
edu-ont:LastLearningStep,rdfs:subClassOf,edu-ont:LearningStep
edu-ont:Person,edu-ont:assumesAuthorship,edu-ont:Author
edu-ont:Person,edu-ont:assumesPersona,edu-ont:Persona
edu-ont:Module,edu-ont:belongTo,edu-ont:Category
edu-ont:Topic,edu-ont:broaderThan,edu-ont:Topic
edu-ont:Media,edu-ont:coversTopic,edu-ont:Topic
edu-ont:Module,edu-ont:coversTopic,edu-ont:Topic
edu-ont:Persona,edu-ont:determines,edu-ont:LearningPath
edu-ont:Media,edu-ont:hasAuthor,edu-ont:Author
edu-ont:Media,edu-ont:hasLanguage,edu-ont:Language
edu-ont:LearningPath,edu-ont:hasLearningStep,edu-ont:LearningStep
edu-ont:Module,edu-ont:hasLevel,edu-ont:Level
edu-ont:Curriculum,edu-ont:hasModule,edu-ont:Module
edu-ont:LearningStep,edu-ont:hasNextLearningStep,edu-ont:LearningStep
edu-ont:LearningStep,edu-ont:hasPreviousLearningStep,edu-ont:LearningStep
edu-ont:Persona,edu-ont:hasProfession,edu-ont:Profession
edu-ont:Media,edu-ont:hasRecomended,edu-ont:Audience
edu-ont:Event,edu-ont:hasSubEvent,edu-ont:Event
edu-ont:Persona,edu-ont:hasType,edu-ont:PersonaType
edu-ont:Topic,edu-ont:narrowerThan,edu-ont:Topic
edu-ont:Event,edu-ont:provides,edu-ont:Media
edu-ont:Module,edu-ont:references,edu-ont:Media
edu-ont:LearningStep,edu-ont:refersTo,edu-ont:Module
edu-ont:LearningPath,edu-ont:scopedBy,edu-ont:Curriculum
edu-ont:Event,edu-ont:asString,xsd:string
edu-ont:LearningPath,edu-ont:asString,xsd:string
edu-ont:LearningStep,edu-ont:asString,xsd:string
edu-ont:Persona,edu-ont:asString,xsd:string
edu-ont:PersonaType,edu-ont:asString,xsd:string
edu-ont:Profession,edu-ont:asString,xsd:string
edu-ont:Topic,edu-ont:asString,xsd:string
edu-ont:Media,edu-ont:hasMediaSourceLink,xsd:string
edu-ont:Author,edu-ont:hasName,xsd:string
edu-ont:Curriculum,edu-ont:hasTitle,xsd:string
edu-ont:Media,edu-ont:hasTitle,xsd:string
edu-ont:Module,edu-ont:hasTitle,xsd:string
