level,dimensions,kg,representation,prompt_type,temperature_label,cq_complexity,n_records,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Invalid_Predictions
kg__representation,kg|representation,kwg,nen,,,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation,kg|representation,gmo,nen,,,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation,kg|representation,currkg,axiom,,,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation,kg|representation,enslaved,axiom,,,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation,kg|representation,kwg,ttl,,,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation,kg|representation,currkg,ttl,,,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation,kg|representation,core_scholar_rich,axiom,,,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation,kg|representation,core_scholar_rich,nen,,,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation,kg|representation,enslaved,nen,,,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation,kg|representation,kwg,axiom,,,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation,kg|representation,no_kg,axiom,,,,60,0.1,1.0,0.1,0.1818,1.0,0.1,0.1818,1
kg__representation,kg|representation,no_kg,nen,,,,60,0.15,1.0,0.15,0.2609,1.0,0.15,0.2609,1
kg__representation,kg|representation,no_kg,ttl,,,,60,0.1667,1.0,0.1667,0.2857,1.0,0.1667,0.2857,0
kg__prompt_type,kg|prompt_type,enslaved,,0_shot,,,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__prompt_type,kg|prompt_type,core_scholar_rich,,0_shot,,,45,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__prompt_type,kg|prompt_type,gmo,,0_shot,,,45,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__prompt_type,kg|prompt_type,currkg,,0_shot,,,45,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__prompt_type,kg|prompt_type,kwg,,0_shot,,,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__prompt_type,kg|prompt_type,no_kg,,0_shot,,,90,0.1222,1.0,0.1222,0.2178,1.0,0.1222,0.2178,1
kg__prompt_type,kg|prompt_type,kwg,,cot,,,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__prompt_type,kg|prompt_type,enslaved,,cot,,,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__prompt_type,kg|prompt_type,currkg,,cot,,,45,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__prompt_type,kg|prompt_type,gmo,,cot,,,45,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__prompt_type,kg|prompt_type,core_scholar_rich,,cot,,,45,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__prompt_type,kg|prompt_type,no_kg,,cot,,,90,0.1556,1.0,0.1556,0.2692,1.0,0.1556,0.2692,1
kg__temperature_label,kg|temperature_label,enslaved,,,temp0.0,,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__temperature_label,kg|temperature_label,core_scholar_rich,,,temp0.0,,90,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__temperature_label,kg|temperature_label,gmo,,,temp0.0,,90,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__temperature_label,kg|temperature_label,currkg,,,temp0.0,,90,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
